Satellite,Activity,Activity Sequence ID,Pre Activity Sequence ID,최소 pass contact 시간,X-Band 여부,Priority
NEONSAT1,"TC_히터_온
sdfsdf
1221
123
12312312
12312414
12321321
12323124
14666576765
gdfgfg
htht",101,None,120,N,High
NEONSAT1,TM_덤프_X밴드,102,101,300,Y,Medium
SPACEEYE-T1,안테나_전개,201,None,60,N,High
SPACEEYE-T1,배터리_초기화,202,201,90,N,Low
NEONSAT1A,NEW_ACTIVITY,304,None,120,N,Medium
NEONSAT12,NEW_ACTIVITY,305,None,120,N,Medium
NEONSAT1,NEW_ACTIVITY,306,None,120,N,Medium
NEONSAT12,NEW_ACTIVITY,307,None,120,N,Medium
NEONSAT13,NEW_ACTIVITY,308,None,120,N,Medium
NEONSAT122,NEW_ACTIVITY,309,None,120,N,Medium
