Main,Sub,설명
First Contact,TM 확인,
,Solar Panel 전개 확인,
,TC 전송 확인,
,TLE update,
,GS config 설정,
,Auto contact mode 전환,
Health check,EPS,
,AOCS,
,S-band,
,FSW,
,TCS,
,TMTC,
Configuration check,EPS,
,Thermal,
,GS config 설정,
,STX,
,FCS param,
X-band Key update,x key update,
1차 지상 촬영,시나리오 등록,
,이미징,
,다운로드,
1차 Cal Maneuver,시나리오 등록,
,Max logging,
,AOTM 다운,
2차 Cal Maneuver,시나리오 등록,
,Max logging,
,AOTM 다운,
3차 Cal Maneuver,시나리오 등록,
,Max logging,
,AOTM 다운,
"FCS Parameter Update
(STS-Gyro up)",FCP 업데이트,
1차 별촬영,시나리오 등록,
,Max logging,
,AOTM 다운,
